adgang;tilgang, tilgjenge. høve, rett, lov (til) // a- forbudt ikkje tilgjenge
adkomst;tilkomst, veg. rett, heimel
adkomstdokument;heimelsdokument
advarsel;åtvaring
aktelse;vørdnad
aktpågivenhet;aktsemd
aktsom;aktsam
aktsomhet;aktsemd // vise a- vera aktsam, passa på
alkoholholdig;alkoholhaldig, med alkohol i
allmennheten;folk (flest), ålmenta, publikum
alminnelig;allmenn, vanleg, alminneleg
alminnelighet;alminnelegheit // i (sin) a- til vanleg / jamt over
anbefale;rå til, tilrå
anbefaling;tilråding
anbud;anbod
andel;del, part
anerkjent;akta, godkjend, påskjøna, verdsett, anerkjend
anerkjenne;godkjenna, påskjøna, verdsetja, anerkjenna
anerkjennelse;godkjenning, påskjøning, verdsetjing, anerkjenning
anførselstegn;hermeteikn
_angi_;(t.d. i tabell) føra opp, merkja av, syna, visa
_anga_;(t.d. i tabell) føra opp, merkja av, syna, visa
_angitt_;(t.d. i tabell) føra opp, merkja av, syna, visa
angivelse;avmerking, oppføring, opplysning // selvangivelse sjølvmelding
_angå_;gjelda, vedkoma
_angikk_;gjelda, vedkoma
_angått_;gjelda, vedkoma
anklage;klaga, skulda
anklagede;den skulda
ankomst;framkomst, innkomst
anledning;høve, tilfelle
anmelde;melda (til politiet), melda ei bok
anmeldelse;(politi)melding, (bok)melding
anmerkning;merknad
anmode;be, oppmoda
anmodning;oppmoding, førespurnad
anmodningsvedtak;oppmodingsvedtak
annerledes;annleis
ansatt;tilsett
anselig;heller stor, monaleg
ansette;tilsetja
ansettelse;tilsetjing
anskaffe;skaffa, kjøpa (inn)
anskaffelse;(inn)kjøp, nyskaffing, (overomgrep:) anskaffing
anslag;overslag, tal
anslagsvis;rundt rekna, om lag
anslå;rekna til, setja til, talfesta
ansvarlig;ansvarleg
ansvarlighet;ansvarlegheit. ansvarskjensle. vera ansvarleg, ta ansvar
ansvarlighetslov;ansvarlegheitslov
_anta_;gå ut frå, leggja til grunn, rekna med. godta
_antok_;gå ut frå, leggja til grunn, rekna med. godta
_antatt_;gå ut frå, leggja til grunn, rekna med. godta
antakelig;truleg, venteleg
antakelse;meining, tru. godtaking
antall;tal (på), mengd, kor mange
antatt;(t.d. kostnad) pårekna
antyde;nemna, ymta om
antydning;snev, teikn, varsel, ymt
anvende;bruka, nytta
anvendelig;brukande, hendig, nyttig
anvendelighet;bruksverdi, (bruks)nytte, å vera nyttig (osv.) // Produktene er kjent for sin anvendelighet og solide utførelse for å vere solid laga og lette å bruka // miste sin anvendelighet bli ubrukeleg
anvendelse;bruk. bruksmåte // kommer til a- skal gjelda / skal brukast
anvendt;(t.d. forsking) bruks-, bruksretta, anvend
arbeidsledig;arbeidslaus
arbeidsledighet;arbeidsløyse
arbeidsmarked;arbeidsmarknad (ein)
arbeidssøker;arbeidssøkjar
arbeidstillatelse;arbeidsløyve
atferd;åtferd
avbrudd;avbrot
avgjørelse;avgjerd, avgjersle // (I lovspråk kan avgjerd tyda 'dom', 'orskurd' (bm. kjennelse) og 'vedtak' (bm. beslutning)
avhenge;vera avhengig (av), stå på, stå og falla med
avhengighet;binding, hang, tilknyting, avhengigheit, å vera avhengig av
avhold;fråhald
avlegge;a- en visitt vitja, stikka innom, besøkja
avsatt;avsett
avsetning;(av pengar) avsetning (det som er avsett)
avsetting;avsetjing (det å setja av)
avsette;(t.d. pengar) setja av
avsindig;vitlaus
avskrivning;avskriving
avskygning;nyanse, islett, svip
avspeile;spegla (av)
avstedkomme;gjera, føra med seg, vera årsak til
avstemning;røysting
avstå_;avhenda, avstå, fråfalla, gje frå seg
avståelse;avkall, avståing, fråfall, opppgjeving
_avta;falla, minka
avveie;vega (mot kvarandre), vurdera
avveiing;avveging, veging … mot, vurdering
avverge;hindra, motverka, stogga
;
barmhjertig;miskunnsam
bearbeide;arbeida (med, på), leggja til rette. tilverka (noko). påverka (nokon)
beboer;bebuar, dei som bur i …. innbyggjar, -buar
bebreide;lasta, klandra, bebreida
bebygge;byggja (på, ut)
bebyggelse;busetnad, bygningar, bygningsmasse, hus
bedervet;skjemd, bederva
